AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;11;Andalucía;África;Guinea Ecuatorial;64.0;724.0;11.3
2019;11;Andalucía;África;Guinea-Bissau;45.0;472.0;10.5
2019;11;Andalucía;África;Kenia;121.0;986.0;8.1
2019;11;Andalucía;África;Mali;416.0;5380.0;12.9
2019;11;Andalucía;África;Marruecos;46495.0;305455.0;6.6
2019;11;Andalucía;África;Mauricio;88.0;1021.0;11.6
2019;11;Andalucía;África;Mauritania;157.0;1183.0;7.5
2019;11;Andalucía;África;Nigeria;494.0;4369.0;8.8
2019;11;Andalucía;África;Senegal;386.0;4041.0;10.5
2019;11;Andalucía;África;Sudáfrica;157.0;1049.0;6.7
2019;11;Andalucía;África;Túnez;189.0;1120.0;5.9
2019;11;Región de Murcia;América;Argentina;80.0;880.0;11.0
2019;11;Región de Murcia;América;Brasil;159.0;1034.0;6.5
2019;11;Región de Murcia;América;Canadá;113.0;486.0;4.3
2019;11;Región de Murcia;América;Colombia;331.0;3972.0;12.0
2019;11;Región de Murcia;América;Ecuador;132.0;1676.0;12.7
2019;11;Región de Murcia;América;Estados Unidos de América;1748.0;13285.0;7.6
